职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
在线英语老师/教务管理老师/班主任IVY EDUCATION,3.5-7千/月,南京-建邺区,上海英藤商务咨询有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),08-15
高中英语老师,1-2万/月,上海-浦东新区,上海晖玥教育科技有限公司,民营公司,50-150人,教育/培训/院校,08-15
少儿英语老师,6-8千/月,湖州,湖州市吴兴区励步英语培训中心,民营公司,少于50人,教育/培训/院校,08-15
英语老师,1.5-2万/月,上海-松江区,上海雅力教育培训有限公司,民营公司,150-500人,教育/培训/院校,08-15
早教英语老师（双休//朝九晚五/午餐）,0.5-1万/月,佛山,佛山市智悦晟文化艺术培训有限公司,民营公司,50-150人,教育/培训/院校,08-15
少儿英语/新概念英语授课教师,1-1.5万/月,哈尔滨-香坊区,哈尔滨市香坊区爱尔英语文化学校,民营公司,50-150人,教育/培训/院校,08-15
昂果少儿英语老师,0.8-2万/月,南京-鼓楼区,南京昂果教育咨询有限公司,民营公司,50-150人,教育/培训/院校,08-15
少儿英语培训老师/英语培训老师,0.6-1万/月,上海-浦东新区,上海文鉴教育科技有限公司,合资,50-150人,教育/培训/院校,08-15
瑞思英语教师（武汉三镇分配）,0.8-1.5万/月,武汉,瑞思英语（武汉）,民营公司,1000-5000人,教育/培训/院校,08-15
英语教师,5-8千/月,深圳-宝安区,深圳市中嘉职业技术学校,民营公司,150-500人,教育/培训/院校,08-15
商务英语教师,4.5-6千/月,广州-白云区,广东省黄埔技工学校,民营公司,1000-5000人,教育/培训/院校,08-15
英语教师（底薪6000起+上5休2+提成）,6-8千/月,苏州-工业园区,立方语言培训中心,民营公司,50-150人,教育/培训/院校,08-15
小学英语老师(周浦地区),0.9-1.3万/月,上海-浦东新区,昂立教育集团少儿事业部,上市公司,1000-5000人,教育/培训/院校,08-15
英语老师,3-8千/月,桂林,桂林市金宝贝早期教育培训学校,民营公司,50-150人,教育/培训/院校,08-15
英语老师,4.5-6千/月,沈阳-大东区,沈阳市大东区宝贝回家教育培训中心,民营公司,50-150人,教育/培训/院校,08-15
初高中英语老师,800元/天,北京-朝阳区,北京凯特领先文化传媒有限公司,合资,少于50人,教育/培训/院校,08-15
家教/老师/语文/英语/数学/科学教师,1-1.5万/月,湖州,右恩教育科技（湖州）有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语老师,4-7千/月,蚌埠,上海瞬动科技有限公司合肥分公司,民营公司,,电子技术/半导体/集成电路,08-15
7K英语戏剧老师,6-8千/月,珠海-香洲区,揭阳市智兴贸易有限公司,民营公司,,贸易/进出口,08-15
中学英语教师,200元/天,镇江-润州区,镇江星之火信息科技有限公司,民营公司,50-150人,教育/培训/院校,08-15
初中英语老师,6-8千/月,成都-郫都区,成都市郫都区绵实外国语学校,民营公司,150-500人,教育/培训/院校,08-15
励步少儿英语老师/中教老师/英文教师,0.8-1.5万/月,义乌,义乌市励长艺术培训有限公司,民营公司,150-500人,教育/培训/院校,08-15
高中英语教师（急聘，越秀区，双休，五险一金）,6-8千/月,广州-越秀区,广州精学睿教育信息咨询有限公司,民营公司,,影视/媒体/艺术/文化传播,08-15
幼儿英语老师江北,3-6千/月,重庆-江北区,重庆点宏教育投资有限责任公司,民营公司,500-1000人,教育/培训/院校,08-15
早教亲子老师（英语）,0.6-1万/月,杭州-上城区,杭州心阳教育咨询有限公司,民营公司,150-500人,教育/培训/院校,08-15
语文/数学/英语（高中）授课老师,0.8-1万/月,广州-海珠区,广州执力教育科技有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语家庭教师,6-8千/月,北京-昌平区,海南华宇畅物业服务有限公司,民营公司,150-500人,物业管理/商业中心,08-15
商务英语老师,120元/小时,无锡,上海通恒文化传播有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语教师,4-8千/月,威海,威海市环翠区冠博培训学校有限公司,合资,少于50人,教育/培训/院校,08-15
英语老师/教师,0.8-1万/月,福州-鼓楼区,福州学有方培训学校,上市公司,150-500人,教育/培训/院校,08-15
初高中数学 英语 物理 化学老师,6-8千/月,武汉-武汉经济开发区,武汉市江岸区卓锐培训学校有限公司,民营公司,少于50人,教育/培训/院校,08-15
小学英语老师,5-8千/月,江门-鹤山市,广州市晓双师教育科技有限公司,民营公司,50-150人,教育/培训/院校,08-15
教研老师（英语）,4.5-6千/月,南昌,江西易公教育咨询有限公司,民营公司,150-500人,教育/培训/院校,08-15
英语老师,6-8千/月,徐州-铜山区,上海职豆豆教育科技集团有限公司,民营公司,,教育/培训/院校,08-15
少儿英语老师,4-8千/月,广州-天河区,广州承思教育科技有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语教师,4.5-6千/月,杭州-西湖区,杭州浩川培训学校有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语老师,4-5千/月,广州-南沙区,广州市电子商务技工学校,非营利组织,500-1000人,教育/培训/院校,08-15
英语早教老师（番禺南村校区）,6-8千/月,广州-天河区,广州市小马快跑文化发展有限公司,民营公司,50-150人,教育/培训/院校,08-15
